,Date,compound
0,2020-03-16,0.12866666666666665
1,2020-03-17,0.2353
2,2020-03-18,0.07862307692307692
3,2020-03-19,0.06504545454545455
4,2020-03-20,0.2576
5,2020-03-21,0.21615454545454546
6,2020-03-22,-0.25165
7,2020-03-23,0.2467375
8,2020-03-24,0.24736
9,2020-03-25,0.28659999999999997
10,2020-03-26,0.20364444444444443
11,2020-03-27,0.2399
12,2020-03-28,0.14086666666666667
13,2020-03-29,0.0
14,2020-03-30,0.1305111111111111
15,2020-03-31,0.2064142857142857
16,2020-04-01,0.37914
17,2020-04-02,-0.027100000000000003
18,2020-04-03,0.20028125
19,2020-04-04,-0.033662500000000005
20,2020-04-05,0.214995
21,2020-04-06,0.1722923076923077
22,2020-04-07,0.17933636363636363
23,2020-04-08,0.13855555555555557
24,2020-04-09,-0.050960000000000005
25,2020-04-10,0.06961666666666667
26,2020-04-11,0.1971125
27,2020-04-12,0.2075142857142857
28,2020-04-13,0.1586428571428571
29,2020-04-14,0.353175
30,2020-04-15,0.4854
31,2020-04-16,0.15426071428571428
32,2020-04-17,0.05705555555555556
33,2020-04-18,0.22367058823529412
34,2020-04-19,0.3101928571428571
35,2020-04-20,0.31457999999999997
36,2020-04-21,0.318225
37,2020-04-22,0.14801052631578948
38,2020-04-23,0.280405
39,2020-04-24,0.11345000000000001
40,2020-04-25,0.35013636363636363
41,2020-04-26,0.1638153846153846
42,2020-04-27,0.15887500000000002
43,2020-04-28,0.0
44,2020-04-29,0.15051111111111112
45,2020-04-30,-0.03105882352941176
46,2020-05-01,0.10165357142857144
47,2020-05-02,0.32003846153846155
48,2020-05-03,0.45858
49,2020-05-04,0.07045555555555556
50,2020-05-05,0.12159500000000001
51,2020-05-06,0.26098947368421055
52,2020-05-07,0.10258333333333333
53,2020-05-08,0.26398125
54,2020-05-09,0.043127777777777786
55,2020-05-10,-0.005953846153846157
56,2020-05-11,0.20576521739130438
57,2020-05-12,0.18873529411764706
58,2020-05-13,0.22009285714285715
59,2020-05-14,0.13172499999999998
60,2020-05-15,0.15564545454545453
61,2020-05-16,0.0
62,2020-05-17,0.2593142857142857
63,2020-05-18,0.5007
64,2020-05-19,0.07
65,2020-05-20,0.4215
66,2020-05-21,0.2121333333333333
67,2020-05-22,0.12324615384615384
68,2020-05-23,0.20579999999999998
69,2020-05-24,-0.020085714285714294
70,2020-05-25,0.15735
71,2020-05-26,0.3613142857142857
72,2020-05-27,0.24126666666666666
73,2020-05-28,0.0
74,2020-05-29,0.2653666666666667
75,2020-05-30,0.05387499999999999
76,2020-05-31,0.10602222222222221
77,2020-06-01,-0.005699999999999997
78,2020-06-02,0.0
79,2020-06-03,0.0
80,2020-06-04,0.35508333333333336
81,2020-06-05,0.13396666666666665
82,2020-06-06,0.07574166666666667
83,2020-06-07,0.22513333333333332
84,2020-06-08,0.07335
85,2020-06-09,0.031333333333333324
86,2020-06-10,0.2300769230769231
87,2020-06-11,0.17524666666666666
88,2020-06-12,0.0
89,2020-06-13,0.0
90,2020-06-14,0.318
91,2020-06-15,0.047075
92,2020-06-16,0.10103999999999999
93,2020-06-17,-0.5559
94,2020-06-18,0.045533333333333335
95,2020-06-19,0.15981666666666666
96,2020-06-20,0.11796666666666668
97,2020-06-21,0.30373142857142854
98,2020-06-22,0.11482857142857142
99,2020-06-23,0.13343333333333332
100,2020-06-24,0.2607285714285714
101,2020-06-25,0.21660000000000001
102,2020-06-26,0.20114444444444446
103,2020-06-27,0.27168000000000003
104,2020-06-28,0.208425
105,2020-06-29,0.425325
106,2020-06-30,0.11468750000000001
107,2020-07-01,0.2950875
108,2020-07-02,0.2359891891891892
109,2020-07-03,0.1524875
110,2020-07-04,0.1935
111,2020-07-05,0.24146785714285715
112,2020-07-06,0.18645714285714285
113,2020-07-07,0.33496666666666663
114,2020-07-08,0.14955000000000002
115,2020-07-09,0.0620125
116,2020-07-10,0.26757272727272724
117,2020-07-11,0.1147
118,2020-07-12,0.3396333333333333
119,2020-07-13,0.16458666666666666
120,2020-07-14,0.26559166666666667
121,2020-07-15,0.02769375
122,2020-07-16,0.0
123,2020-07-17,-0.148
124,2020-07-18,0.1383066666666667
125,2020-07-19,0.23606666666666667
126,2020-07-20,0.1421375
127,2020-07-21,0.13665
128,2020-07-22,0.10881
129,2020-07-23,0.2726454545454545
130,2020-07-24,0.25890625
131,2020-07-25,-0.12528571428571428
132,2020-07-26,0.24736666666666668
133,2020-07-27,0.24198076923076922
134,2020-07-28,0.08414444444444442
135,2020-07-29,0.18218888888888887
136,2020-07-30,0.1382741935483871
137,2020-07-31,0.1423777777777778
138,2020-08-01,0.06500000000000002
139,2020-08-02,0.09512142857142858
140,2020-08-03,0.203025
141,2020-08-04,0.14049999999999999
142,2020-08-05,0.17541666666666667
143,2020-08-06,0.0
144,2020-08-07,0.13361
145,2020-08-08,0.20952727272727276
146,2020-08-09,0.0
147,2020-08-10,0.0
148,2020-08-11,0.0939875
149,2020-08-12,-0.0258
150,2020-08-13,0.12114285714285715
151,2020-08-14,0.347284
152,2020-08-15,0.11179999999999998
153,2020-08-16,0.24300624999999998
154,2020-08-17,0.11151666666666665
155,2020-08-18,0.17198125
156,2020-08-19,0.17271739130434782
157,2020-08-20,0.15317333333333333
158,2020-08-21,0.1097
159,2020-08-22,0.0
160,2020-08-23,0.0
161,2020-08-24,0.013087499999999988
162,2020-08-25,0.17800000000000002
163,2020-08-26,0.12198333333333333
164,2020-08-27,8.181818181816776e-05
165,2020-08-28,0.12839333333333333
166,2020-08-29,0.16492
167,2020-08-30,0.12239047619047619
168,2020-08-31,0.18203999999999998
169,2020-09-01,-0.059887499999999996
170,2020-09-02,0.3715
171,2020-09-03,0.233975
172,2020-09-04,0.08335999999999999
173,2020-09-05,0.07689999999999998
174,2020-09-06,0.0
175,2020-09-07,0.0407
176,2020-09-08,0.0
177,2020-09-09,0.1154
178,2020-09-10,0.3100727272727273
179,2020-09-11,0.6213000000000001
180,2020-09-12,0.17594615384615386
181,2020-09-13,0.229775
182,2020-09-14,0.22213333333333332
183,2020-09-15,0.37265714285714285
184,2020-09-16,0.040700000000000014
185,2020-09-17,0.07156
186,2020-09-18,0.43835
187,2020-09-19,0.30473333333333336
188,2020-09-20,0.34833571428571425
189,2020-09-21,0.4783625
190,2020-09-22,0.16463999999999998
191,2020-09-23,0.237125
192,2020-09-24,0.175075
193,2020-09-25,0.10720714285714286
194,2020-09-26,0.20486785714285713
195,2020-09-27,0.0
196,2020-09-28,0.2612909090909091
197,2020-09-29,0.0593
198,2020-09-30,0.3760666666666666
199,2020-10-01,0.44195555555555555
200,2020-10-02,0.32557777777777774
201,2020-10-03,0.05204000000000001
202,2020-10-04,0.12306666666666666
203,2020-10-05,0.3312181818181818
204,2020-10-06,0.31231
205,2020-10-07,0.0763225806451613
206,2020-10-08,0.28639230769230767
207,2020-10-09,0.19911250000000003
208,2020-10-10,0.16625
209,2020-10-11,0.15429999999999996
210,2020-10-12,0.308235
211,2020-10-13,0.24870909090909094
212,2020-10-14,0.2268578947368421
213,2020-10-15,0.0
214,2020-10-16,0.39155555555555555
215,2020-10-17,0.39276
216,2020-10-18,0.4019
217,2020-10-19,-0.11315
218,2020-10-20,-0.020449999999999996
219,2020-10-21,0.08716666666666667
220,2020-10-22,0.17742727272727274
221,2020-10-23,0.3086714285714286
222,2020-10-24,0.23854999999999998
223,2020-10-25,0.2825
224,2020-10-26,0.2787
225,2020-10-27,0.17317142857142856
226,2020-10-28,0.0917090909090909
227,2020-10-29,0.12513636363636363
228,2020-10-30,0.20693999999999999
229,2020-10-31,0.29569411764705883
230,2020-11-01,0.15335555555555555
231,2020-11-02,0.05836666666666668
232,2020-11-03,0.13593
233,2020-11-04,-0.2244
234,2020-11-05,-0.10129999999999999
235,2020-11-06,0.29562222222222223
236,2020-11-07,0.0
237,2020-11-08,0.18921000000000002
238,2020-11-09,0.06462666666666667
239,2020-11-10,0.634775
240,2020-11-11,0.4019
241,2020-11-12,0.26733333333333337
242,2020-11-13,0.21039642857142857
243,2020-11-14,0.15127222222222222
244,2020-11-15,0.20167142857142856
245,2020-11-16,0.16167272727272727
246,2020-11-17,0.153
247,2020-11-18,0.13702
248,2020-11-19,0.31683636363636364
249,2020-11-20,0.22011333333333336
250,2020-11-21,0.1679277777777778
251,2020-11-22,0.6369
252,2020-11-23,0.37566666666666665
253,2020-11-24,0.2663625
254,2020-11-25,0.1093909090909091
255,2020-11-26,0.33254285714285714
256,2020-11-27,0.0
257,2020-11-28,0.3051285714285714
258,2020-11-29,-0.14643333333333333
259,2020-11-30,0.48279999999999995
260,2020-12-01,-0.6808
261,2020-12-02,0.2258
262,2020-12-03,0.03375
263,2020-12-04,0.0
264,2020-12-05,0.51895
265,2020-12-06,0.318
266,2020-12-07,0.1767857142857143
267,2020-12-08,0.19074999999999998
268,2020-12-09,0.18495999999999999
269,2020-12-10,0.550275
270,2020-12-11,0.33755
271,2020-12-12,0.15293333333333334
272,2020-12-13,0.0
273,2020-12-14,0.12572
274,2020-12-15,0.41512000000000004
275,2020-12-16,0.34481249999999997
276,2020-12-17,0.24386999999999998
277,2020-12-18,0.0
278,2020-12-19,0.0
279,2020-12-20,0.25878823529411765
280,2020-12-21,0.30968
281,2020-12-22,-0.0908
282,2020-12-23,-0.01815
283,2020-12-24,0.19824999999999998
284,2020-12-25,0.2103583333333333
285,2020-12-26,0.2327
286,2020-12-27,0.3659461538461538
287,2020-12-28,0.021333333333333333
288,2020-12-29,0.16512
289,2020-12-30,0.2416
290,2020-12-31,0.2883
291,2021-01-01,0.9052
292,2021-01-02,0.29968
293,2021-01-03,0.4019
294,2021-01-04,-0.07655
295,2021-01-05,0.4728
296,2021-01-06,0.0
297,2021-01-07,0.12876315789473683
298,2021-01-08,0.19765
299,2021-01-09,0.28482631578947365
300,2021-01-10,-0.1806
301,2021-01-11,0.215625
302,2021-01-12,0.1600888888888889
303,2021-01-13,0.11119333333333332
304,2021-01-14,0.10115
305,2021-01-15,0.37922307692307694
306,2021-01-16,0.21306000000000003
307,2021-01-17,0.4404
308,2021-01-18,0.35874
309,2021-01-19,0.0
310,2021-01-20,0.0
311,2021-01-21,0.42157999999999995
312,2021-01-22,0.441425
313,2021-01-23,0.014133333333333331
314,2021-01-24,0.09147999999999999
315,2021-01-25,-0.06608333333333331
316,2021-01-26,0.22470833333333332
317,2021-01-27,0.0
318,2021-01-28,0.07676
319,2021-01-29,0.1277222222222222
320,2021-01-30,0.21405555555555555
321,2021-01-31,0.4121111111111111
322,2021-02-01,0.324125
323,2021-02-02,0.0
324,2021-02-03,0.0
325,2021-02-04,0.03419523809523809
326,2021-02-05,0.19649999999999998
327,2021-02-06,0.15961176470588234
328,2021-02-07,0.08973636363636363
329,2021-02-08,0.08715
330,2021-02-09,0.0003300000000000081
331,2021-02-10,0.12297692307692308
332,2021-02-11,0.37134285714285714
333,2021-02-12,0.0
334,2021-02-13,0.21427999999999997
335,2021-02-14,0.4306666666666666
336,2021-02-15,-0.06645
337,2021-02-16,0.1815857142857143
338,2021-02-17,0.0
339,2021-02-18,0.63845
340,2021-02-19,0.10723333333333335
341,2021-02-20,0.28077
342,2021-02-21,0.09085714285714286
343,2021-02-22,0.2163
344,2021-02-23,0.08116666666666666
345,2021-02-24,0.08433076923076924
346,2021-02-25,0.11281764705882352
347,2021-02-26,0.041666666666666664
348,2021-02-27,0.0
349,2021-02-28,0.0
350,2021-03-01,0.12755555555555556
351,2021-03-02,0.01035999999999999
352,2021-03-03,0.22808461538461539
353,2021-03-04,0.16974999999999998
354,2021-03-05,-0.06767999999999999
355,2021-03-06,0.08062857142857142
356,2021-03-07,-0.296
357,2021-03-08,0.40112857142857145
358,2021-03-09,-0.04633750000000001
359,2021-03-10,0.17487999999999998
360,2021-03-11,0.24945
361,2021-03-12,-0.086
362,2021-03-13,0.008457142857142845
363,2021-03-14,0.3666615384615385
364,2021-03-15,0.100475
365,2021-03-16,0.0
366,2021-03-17,0.09916666666666667
367,2021-03-18,0.13617142857142855
368,2021-03-19,0.07100909090909091
369,2021-03-20,0.3010833333333333
370,2021-03-21,0.3095363636363636
371,2021-03-22,0.3382
372,2021-03-23,0.189275
373,2021-03-24,0.07
374,2021-03-25,-0.04925454545454545
375,2021-03-26,0.2618666666666667
376,2021-03-27,0.28700000000000003
377,2021-03-28,0.0843
378,2021-03-29,0.09225
379,2021-03-30,0.27747058823529414
380,2021-03-31,0.21075
381,2021-04-01,0.15288
382,2021-04-02,0.45295
383,2021-04-03,-0.2622
384,2021-04-04,0.08001250000000001
385,2021-04-05,0.290425
386,2021-04-06,0.22246666666666667
387,2021-04-07,0.2151833333333333
388,2021-04-08,0.04572
389,2021-04-09,0.21591923076923078
390,2021-04-10,0.19247916666666667
391,2021-04-11,0.27096
392,2021-04-12,0.0
393,2021-04-13,-0.6428
394,2021-04-14,0.20696818181818183
395,2021-04-15,0.16241818181818182
396,2021-04-16,0.04495
397,2021-04-17,0.3037125
398,2021-04-18,0.0
399,2021-04-19,0.69045
400,2021-04-20,0.255325
401,2021-04-21,0.119175
402,2021-04-22,0.22691875
403,2021-04-23,0.033716666666666666
404,2021-04-24,0.214775
405,2021-04-25,0.172325
406,2021-04-26,0.3724222222222222
407,2021-04-27,0.1721111111111111
408,2021-04-28,0.21283125
409,2021-04-29,0.2544166666666667
410,2021-04-30,0.0
411,2021-05-01,-0.0789
412,2021-05-02,0.4063800000000001
413,2021-05-03,0.4728333333333334
414,2021-05-04,-0.07925
415,2021-05-05,0.08038
416,2021-05-06,0.2845909090909091
417,2021-05-07,0.08711666666666666
418,2021-05-08,0.24905714285714284
419,2021-05-09,0.3592
420,2021-05-10,0.28191428571428573
421,2021-05-11,0.1101
422,2021-05-12,0.32223333333333337
423,2021-05-13,0.3016375
424,2021-05-14,0.10606666666666666
425,2021-05-15,0.4019
426,2021-05-16,-0.08372857142857144
427,2021-05-17,0.3062
428,2021-05-18,0.18365
429,2021-05-19,0.3745833333333333
430,2021-05-20,0.239625
431,2021-05-21,0.6883250000000001
432,2021-05-22,0.3473571428571428
433,2021-05-23,0.5707
434,2021-05-24,0.50034
435,2021-05-25,-0.0541
436,2021-05-26,-0.016919999999999998
437,2021-05-27,0.1242
438,2021-05-28,-0.04414
439,2021-05-29,0.31225833333333336
440,2021-05-30,0.070225
441,2021-05-31,0.14339999999999997
442,2021-06-01,0.14305714285714285
443,2021-06-02,0.033125
444,2021-06-03,0.0
445,2021-06-04,0.08042142857142857
446,2021-06-05,0.19442500000000001
447,2021-06-06,0.1280888888888889
448,2021-06-07,0.3524666666666667
449,2021-06-08,0.0
450,2021-06-09,0.2878
451,2021-06-10,0.277675
452,2021-06-11,0.3750714285714286
